Driver,Kart,Tires,Glider,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling,key
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",3.25,2.75,2.75,5,2.5,3,2.25,2.25,2,3,3.25,3.25,3.25,3.252.752.7552.532.252.25233.253.253.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",3.5,2.75,3,4.75,2.5,3,2,2.5,2,3,3.5,3,3.25,3.52.7534.752.5322.5233.533.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.75,3.25,2.75,4.75,2.5,3,2.75,2.5,1.75,3.25,3.25,3.75,3.75,2.753.252.754.752.532.752.51.7533.253.753.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,3.25,3,4.5,2.5,3,2.5,2.5,1.75,3.25,3.5,3.5,3.75,33.2534.52.532.52.51.7533.53.53.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",3,3,2.75,4.75,2.25,3.25,2.75,2.25,2,3.25,3.25,3.75,3.5,332.754.752.253.252.752.2523.253.253.753.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",3.25,3,3,4.5,2.25,3.25,2.5,2.5,2,3.25,3.5,3.5,3.5,3.25334.52.253.252.52.523.253.53.53.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4,2,4.25,3.75,2.25,2.5,2,2.25,4,4,4.25,4.25,2424.253.752.252.522.252.2544.254.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4,2.25,4,3.75,2.25,2.25,2,2.25,4,4.25,4,4.25,2.2542.2543.752.252.2522.252.254.2544.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",2.25,3.75,2,4.25,3.5,2.5,2.5,1.75,2.5,4,4,4.25,4,2.253.7524.253.52.52.51.752.52.544.254
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",2.5,3.75,2.25,4,3.5,2.5,2.25,2,2.5,4,4.25,4,4,2.53.752.2543.52.52.2522.52.54.2544
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.75,2.75,3,3.25,2.25,3.25,1.75,3,1.5,3.5,3,3.75,3.5,2.752.7533.252.253.251.7531.53.2533.753.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3,2.75,3.25,3,2.25,3.25,1.5,3,1.5,3.5,3.25,3.5,3.5,32.753.2532.253.251.531.53.253.253.53.5
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",3,2.5,3,3.25,2,3.5,1.75,2.75,1.75,3.5,3,3.75,3.25,32.533.2523.51.752.751.753.533.753.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",3.25,2.5,3.25,3,2,3.5,1.5,3,1.75,3.5,3.25,3.5,3.25,3.252.53.25323.51.531.753.53.253.53.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.5,3,3,3.5,2.75,3,2.25,3,2,4,4,4,4.25,2.5333.52.7532.25323444.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,3,3.25,3.25,2.75,3,2,3,2,4,4.25,3.75,4.25,2.7533.253.252.75323234.253.754.25
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",2.75,2.75,3,3.5,2.5,3.25,2.25,2.75,2.25,4,4,4,4,2.752.7533.52.53.252.252.752.253.25444
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",3,2.75,3.25,3.25,2.5,3.25,2,3,2.25,4,4.25,3.75,4,32.753.253.252.53.25232.253.254.253.754
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.25,3.5,2.5,4.75,3.25,2.5,2,2.25,2.5,3.5,3.25,3.75,4,2.253.52.54.753.252.522.252.52.53.253.754
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.5,3.5,2.75,4.5,3.25,2.5,1.75,2.25,2.5,3.5,3.5,3.5,4,2.53.52.754.53.252.51.752.252.52.53.53.54
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",2.5,3.25,2.5,4.75,3,2.75,2,2,2.75,3.5,3.25,3.75,3.75,2.53.252.54.7532.75222.752.753.253.753.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",2.75,3.25,2.75,4.5,3,2.75,1.75,2.25,2.75,3.5,3.5,3.5,3.75,2.753.252.754.532.751.752.252.752.753.53.53.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2.5,3.5,2.5,4.5,3,2.75,2.5,2.5,2.25,3.75,3.75,4,4,2.53.52.54.532.752.52.52.252.753.7544
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.75,3.5,2.75,4.25,3,2.75,2.25,2.5,2.25,3.75,4,3.75,4,2.753.52.754.2532.752.252.52.252.7543.754
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",2.75,3.25,2.5,4.5,2.75,3,2.5,2.25,2.5,3.75,3.75,4,3.75,2.753.252.54.52.7532.52.252.533.7543.75
"Baby Mario, Baby Luigi, Dry Bones","Badwagon, Standard ATV, GLA","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",3,3.25,2.75,4.25,2.75,3,2.25,2.5,2.5,3.75,4,3.75,3.75,33.252.754.252.7532.252.52.5343.753.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,5.5,2,3.75,5.25,1.25,2,2.25,2,5,4.5,5.25,4.75,15.523.755.251.2522.2521.254.55.254.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,5.5,2.25,3.5,5.25,1.25,1.75,2.25,2,5,4.75,5,4.75,1.255.52.253.55.251.251.752.2521.254.7554.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1.25,5.25,2,3.75,5,1.5,2,2,2.25,5,4.5,5.25,4.5,1.255.2523.7551.5222.251.54.55.254.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",1.5,5.25,2.25,3.5,5,1.5,1.75,2.25,2.25,5,4.75,5,4.5,1.55.252.253.551.51.752.252.251.54.7554.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4.25,2,3.5,4,2,2.25,2,2,4.75,4.25,4.5,4.25,24.2523.5422.252224.254.54.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4.25,2.25,3.25,4,2,2,2,2,4.75,4.5,4.25,4.25,2.254.252.253.254222224.54.254.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,4,2,3.5,3.75,2.25,2.25,1.75,2.25,4.75,4.25,4.5,4,2.25423.53.752.252.251.752.252.254.254.54
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",2.5,4,2.25,3.25,3.75,2.25,2,2,2.25,4.75,4.5,4.25,4,2.542.253.253.752.25222.252.254.54.254
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,4.75,2.5,4.75,4.5,1.5,2,2.25,1.75,4.25,4,4.25,4.5,24.752.54.754.51.522.251.751.544.254.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,4.75,2.75,4.5,4.5,1.5,1.75,2.25,1.75,4.25,4.25,4,4.5,2.254.752.754.54.51.51.752.251.751.54.2544.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2.25,4.5,2.5,4.75,4.25,1.75,2,2,2,4.25,4,4.25,4.25,2.254.52.54.754.251.752221.7544.254.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",2.5,4.5,2.75,4.5,4.25,1.75,1.75,2.25,2,4.25,4.25,4,4.25,2.54.52.754.54.251.751.752.2521.754.2544.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,5,2.5,4.5,4.25,1.75,2.5,2.25,1.75,4.5,4,4.75,4.75,1.7552.54.54.251.752.52.251.751.7544.754.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,5,2.75,4.25,4.25,1.75,2.25,2.25,1.75,4.5,4.25,4.5,4.75,252.754.254.251.752.252.251.751.754.254.54.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",2,4.75,2.5,4.5,4,2,2.5,2,2,4.5,4,4.75,4.5,24.752.54.5422.522244.754.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2.25,4.75,2.75,4.25,4,2,2.25,2.25,2,4.5,4.25,4.5,4.5,2.254.752.754.25422.252.25224.254.54.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,5.75,1.75,4,5.5,1,2.25,1.75,2.25,5.25,4.75,5.25,5.25,15.751.7545.512.251.752.2514.755.255.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,5.75,2,3.75,5.5,1,2,1.75,2.25,5.25,5,5,5.25,1.255.7523.755.5121.752.251555.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",1.25,5.5,1.75,4,5.25,1.25,2.25,1.5,2.5,5.25,4.75,5.25,5,1.255.51.7545.251.252.251.52.51.254.755.255
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",1.5,5.5,2,3.75,5.25,1.25,2,1.75,2.5,5.25,5,5,5,1.55.523.755.251.2521.752.51.25555
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,4.5,2.75,3,4,2,1.5,2.75,1.5,4.75,3.75,4.75,4.5,1.754.52.753421.52.751.523.754.754.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,4.5,3,2.75,4,2,1.25,2.75,1.5,4.75,4,4.5,4.5,24.532.75421.252.751.5244.54.5
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Super Glider, Waddle Wing, Hylian Kite",2,4.25,2.75,3,3.75,2.25,1.5,2.5,1.75,4.75,3.75,4.75,4.25,24.252.7533.752.251.52.51.752.253.754.754.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slick, Cyber Slick","Wario Wing, Plane Glider, Gold Glider",2.25,4.25,3,2.75,3.75,2.25,1.25,2.75,1.75,4.75,4,4.5,4.25,2.254.2532.753.752.251.252.751.752.2544.54.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,4.75,2.75,3.25,4.5,1.75,2,2.75,2,5.25,4.75,5,5.25,1.54.752.753.254.51.7522.7521.754.7555.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,4.75,3,3,4.5,1.75,1.75,2.75,2,5.25,5,4.75,5.25,1.754.75334.51.751.752.7521.7554.755.25
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Super Glider, Waddle Wing, Hylian Kite",1.75,4.5,2.75,3.25,4.25,2,2,2.5,2.25,5.25,4.75,5,5,1.754.52.753.254.25222.52.2524.7555
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Slim, Wood, Crimson Slim","Wario Wing, Plane Glider, Gold Glider",2,4.5,3,3,4.25,2,1.75,2.75,2.25,5.25,5,4.75,5,24.5334.2521.752.752.25254.755
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Sponge, Cushion","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.25,5.25,2.25,4.5,5,1.25,1.75,2,2.5,4.75,4,4.75,5,1.255.252.254.551.251.7522.51.2544.755
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Sponge, Cushion","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.5,5.25,2.5,4.25,5,1.25,1.5,2,2.5,4.75,4.25,4.5,5,1.55.252.54.2551.251.522.51.254.254.55
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Sponge, Cushion","Super Glider, Waddle Wing, Hylian Kite",1.5,5,2.25,4.5,4.75,1.5,1.75,1.75,2.75,4.75,4,4.75,4.75,1.552.254.54.751.51.751.752.751.544.754.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Sponge, Cushion","Wario Wing, Plane Glider, Gold Glider",1.75,5,2.5,4.25,4.75,1.5,1.5,2,2.75,4.75,4.25,4.5,4.75,1.7552.54.254.751.51.522.751.54.254.54.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.5,5.25,2.25,4.25,4.75,1.5,2.25,2.25,2.25,5,4.5,5,5,1.55.252.254.254.751.52.252.252.251.54.555
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.75,5.25,2.5,4,4.75,1.5,2,2.25,2.25,5,4.75,4.75,5,1.755.252.544.751.522.252.251.54.754.755
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Super Glider, Waddle Wing, Hylian Kite",1.75,5,2.25,4.25,4.5,1.75,2.25,2,2.5,5,4.5,5,4.75,1.7552.254.254.51.752.2522.51.754.554.75
"Baby Mario, Baby Luigi, Dry Bones","Biddybuggy, Mr. Scooty","Standard, Blue Standard, GLA Tires","Wario Wing, Plane Glider, Gold Glider",2,5,2.5,4,4.5,1.75,2,2.25,2.5,5,4.75,4.75,4.75,252.544.51.7522.252.51.754.754.754.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,4.5,2,3.5,4.25,2.25,2.25,2.75,2.5,4.25,4.25,5.25,4,14.523.54.252.252.252.752.52.254.255.254
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,4.5,2.25,3.25,4.25,2.25,2,2.75,2.5,4.25,4.5,5,4,1.254.52.253.254.252.2522.752.52.254.554
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",1.25,4.25,2,3.5,4,2.5,2.25,2.5,2.75,4.25,4.25,5.25,3.75,1.254.2523.542.52.252.52.752.54.255.253.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",1.5,4.25,2.25,3.25,4,2.5,2,2.75,2.75,4.25,4.5,5,3.75,1.54.252.253.2542.522.752.752.54.553.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.25,2,3.25,3,3,2.5,2.5,2.5,4,4,4.5,3.5,23.2523.25332.52.52.5344.53.5
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.25,2.25,3,3,3,2.25,2.5,2.5,4,4.25,4.25,3.5,2.253.252.253332.252.52.534.254.253.5
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,3,2,3.25,2.75,3.25,2.5,2.25,2.75,4,4,4.5,3.25,2.25323.252.753.252.52.252.753.2544.53.25
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",2.5,3,2.25,3,2.75,3.25,2.25,2.5,2.75,4,4.25,4.25,3.25,2.532.2532.753.252.252.52.753.254.254.253.25
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.75,2.5,4.5,3.5,2.5,2.25,2.75,2.25,3.5,3.75,4.25,3.75,23.752.54.53.52.52.252.752.252.53.754.253.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.75,2.75,4.25,3.5,2.5,2,2.75,2.25,3.5,4,4,3.75,2.253.752.754.253.52.522.752.252.5443.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",2.25,3.5,2.5,4.5,3.25,2.75,2.25,2.5,2.5,3.5,3.75,4.25,3.5,2.253.52.54.53.252.752.252.52.52.753.754.253.5
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Monster, Hot Monster","Wario Wing, Plane Glider, Gold Glider",2.5,3.5,2.75,4.25,3.25,2.75,2,2.75,2.5,3.5,4,4,3.5,2.53.52.754.253.252.7522.752.52.75443.5
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,4,2.5,4.25,3.25,2.75,2.75,2.75,2.25,3.75,3.75,4.75,4,1.7542.54.253.252.752.752.752.252.753.754.754
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2,4,2.75,4,3.25,2.75,2.5,2.75,2.25,3.75,4,4.5,4,242.7543.252.752.52.752.252.7544.54
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Super Glider, Waddle Wing, Hylian Kite",2,3.75,2.5,4.25,3,3,2.75,2.5,2.5,3.75,3.75,4.75,3.75,23.752.54.25332.752.52.533.754.753.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Off-Road, Retro Off-Road, Triforce Tires","Wario Wing, Plane Glider, Gold Glider",2.25,3.75,2.75,4,3,3,2.5,2.75,2.5,3.75,4,4.5,3.75,2.253.752.754332.52.752.5344.53.75
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Roller, Azure Roller","Cloud Glider, Parachute, Flower Glider, Paper Glider",1,4.75,1.75,3.75,4.5,2,2.5,2.25,2.75,4.5,4.5,5.25,4.5,14.751.753.754.522.52.252.7524.55.254.5
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Roller, Azure Roller","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",1.25,4.75,2,3.5,4.5,2,2.25,2.25,2.75,4.5,4.75,5,4.5,1.254.7523.54.522.252.252.7524.7554.5
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Roller, Azure Roller","Super Glider, Waddle Wing, Hylian Kite",1.25,4.5,1.75,3.75,4.25,2.25,2.5,2,3,4.5,4.5,5.25,4.25,1.254.51.753.754.252.252.5232.254.55.254.25
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Roller, Azure Roller","Wario Wing, Plane Glider, Gold Glider",1.5,4.5,2,3.5,4.25,2.25,2.25,2.25,3,4.5,4.75,5,4.25,1.54.523.54.252.252.252.2532.254.7554.25
"Baby Mario, Baby Luigi, Dry Bones","Blue Falcon, Splat Buggy","Slick, Cyber Slick","Cloud Glider, Parachute, Flower Glider, Paper Glider",1.75,3.5,2.75,2.75,3,3,1.75,3.25,2,4,3.5,4.75,3.75,1.753.52.752.75331.753.25233.54.753.75
